No.;Time;;;;;;Time 2;Time 1;Delay;;;Delay 1;Delay 2;Jitter
1;0;;;;;;0,011355;0;0,011355;;;0,009413;0,001942;-0,007471
2;0,011355;;;;;;0,013297;0,011355;0,001942;;;0,001239;0,000703;-0,000536
3;0,013297;;;;;;0,014;0,013297;0,000703;;;0,000348;0,000355;7E-06
4;0,014;;;;;;0,014355;0,014;0,000355;;;-0,024236;0,024591;0,048827
5;0,014355;;;;;;0,038946;0,014355;0,024591;;;0,023916;0,000675;-0,023241
6;0,038946;;;;;;0,039621;0,038946;0,000675;;;0,000675;0;-0,000675
7;0,039621;;;;;;0,039621;0,039621;0;;;0;0;0
8;0,039621;;;;;;0,039621;0,039621;0;;;-0,004942;0,004942;0,009884
9;0,039621;;;;;;0,044563;0,039621;0,004942;;;0,004475;0,000467;-0,004008
10;0,044563;;;;;;0,04503;0,044563;0,000467;;;0,000269;0,000198;-7,1E-05
11;0,04503;;;;;;0,045228;0,04503;0,000198;;;1E-04;9,8E-05;-2E-06
12;0,045228;;;;;;0,045326;0,045228;9,8E-05;;;-0,001411;0,001509;0,00292
13;0,045326;;;;;;0,046835;0,045326;0,001509;;;0,000695;0,000814;0,000119
14;0,046835;;;;;;0,047649;0,046835;0,000814;;;-0,008113;0,008927;0,01704
15;0,047649;;;;;;0,056576;0,047649;0,008927;;;-0,000481;0,009408;0,009889
16;0,056576;;;;;;0,065984;0,056576;0,009408;;;0,009108;0,0003;-0,008808
17;0,065984;;;;;;0,066284;0,065984;0,0003;;;-0,011122;0,011422;0,022544
18;0,066284;;;;;;0,077706;0,066284;0,011422;;;-0,074945;0,086367;0,161312
19;0,077706;;;;;;0,164073;0,077706;0,086367;;;0,075359;0,011008;-0,064351
20;0,164073;;;;;;0,175081;0,164073;0,011008;;;0,009249;0,001759;-0,00749
21;0,175081;;;;;;0,17684;0,175081;0,001759;;;0,001086;0,000673;-0,000413
22;0,17684;;;;;;0,177513;0,17684;0,000673;;;-0,026125;0,026798;0,052923
23;0,177513;;;;;;0,204311;0,177513;0,026798;;;0,026517;0,000281;-0,026236
24;0,204311;;;;;;0,204592;0,204311;0,000281;;;-0,000527;0,000808;0,001335
25;0,204592;;;;;;0,2054;0,204592;0,000808;;;0,000624;0,000184;-0,00044
26;0,2054;;;;;;0,205584;0,2054;0,000184;;;-0,000383;0,000567;0,00095
27;0,205584;;;;;;0,206151;0,205584;0,000567;;;0,000486;8,1E-05;-0,000405
28;0,206151;;;;;;0,206232;0,206151;8,1E-05;;;-1,7E-05;9,8E-05;0,000115
29;0,206232;;;;;;0,20633;0,206232;9,8E-05;;;2E-05;7,8E-05;5,8E-05
30;0,20633;;;;;;0,206408;0,20633;7,8E-05;;;-0,021808;0,021886;0,043694
31;0,206408;;;;;;0,228294;0,206408;0,021886;;;0,021466;0,00042;-0,021046
32;0,228294;;;;;;0,228714;0,228294;0,00042;;;0,00042;0;-0,00042
33;0,228714;;;;;;0,228714;0,228714;0;;;-0,001233;0,001233;0,002466
34;0,228714;;;;;;0,229947;0,228714;0,001233;;;0,001233;0;-0,001233
35;0,229947;;;;;;0,229947;0,229947;0;;;-0,000458;0,000458;0,000916
36;0,229947;;;;;;0,230405;0,229947;0,000458;;;-0,006411;0,006869;0,01328
37;0,230405;;;;;;0,237274;0,230405;0,006869;;;0,006523;0,000346;-0,006177
38;0,237274;;;;;;0,23762;0,237274;0,000346;;;4,6E-05;0,0003;0,000254
39;0,23762;;;;;;0,23792;0,23762;0,0003;;;-0,026762;0,027062;0,053824
40;0,23792;;;;;;0,264982;0,23792;0,027062;;;0,006078;0,020984;0,014906
41;0,264982;;;;;;0,285966;0,264982;0,020984;;;-0,657621;0,678605;1,336226
42;0,285966;;;;;;0,964571;0,285966;0,678605;;;0,67836;0,000245;-0,678115
43;0,964571;;;;;;0,964816;0,964571;0,000245;;;8,6E-05;0,000159;7,3E-05
44;0,964816;;;;;;0,964975;0,964816;0,000159;;;-0,001274;0,001433;0,002707
45;0,964975;;;;;;0,966408;0,964975;0,001433;;;-0,008823;0,010256;0,019079
46;0,966408;;;;;;0,976664;0,966408;0,010256;;;0,008505;0,001751;-0,006754
47;0,976664;;;;;;0,978415;0,976664;0,001751;;;0,001223;0,000528;-0,000695
48;0,978415;;;;;;0,978943;0,978415;0,000528;;;0,00018;0,000348;0,000168
49;0,978943;;;;;;0,979291;0,978943;0,000348;;;0,000267;8,1E-05;-0,000186
50;0,979291;;;;;;0,979372;0,979291;8,1E-05;;;-0,009175;0,009256;0,018431
51;0,979372;;;;;;0,988628;0,979372;0,009256;;;0,008097;0,001159;-0,006938
52;0,988628;;;;;;0,989787;0,988628;0,001159;;;-0,009674;0,010833;0,020507
53;0,989787;;;;;;1,00062;0,989787;0,010833;;;0,010548;0,000285;-0,010263
54;1,00062;;;;;;1,000905;1,00062;0,000285;;;5,4E-05;0,000231;0,000177
55;1,000905;;;;;;1,001136;1,000905;0,000231;;;-0,002521;0,002752;0,005273
56;1,001136;;;;;;1,003888;1,001136;0,002752;;;0,001903;0,000849;-0,001054
57;1,003888;;;;;;1,004737;1,003888;0,000849;;;0,000849;0;-0,000849
58;1,004737;;;;;;1,004737;1,004737;0;;;0;0;0
59;1,004737;;;;;;1,004737;1,004737;0;;;0;0;0
60;1,004737;;;;;;1,004737;1,004737;0;;;-0,000622;0,000622;0,001244
61;1,004737;;;;;;1,005359;1,004737;0,000622;;;0,000431;0,000191;-0,00024
62;1,005359;;;;;;1,00555;1,005359;0,000191;;;1E-05;0,000181;0,000171
63;1,00555;;;;;;1,005731;1,00555;0,000181;;;-0,002884;0,003065;0,005949
64;1,005731;;;;;;1,008796;1,005731;0,003065;;;0,002687;0,000378;-0,002309
65;1,008796;;;;;;1,009174;1,008796;0,000378;;;-0,000714;0,001092;0,001806
66;1,009174;;;;;;1,010266;1,009174;0,001092;;;-0,01451;0,015602;0,030112
67;1,010266;;;;;;1,025868;1,010266;0,015602;;;0,014173;0,001429;-0,012744
68;1,025868;;;;;;1,027297;1,025868;0,001429;;;0,000878;0,000551;-0,000327
69;1,027297;;;;;;1,027848;1,027297;0,000551;;;-0,001954;0,002505;0,004459
70;1,027848;;;;;;1,030353;1,027848;0,002505;;;-0,014968;0,017473;0,032441
71;1,030353;;;;;;1,047826;1,030353;0,017473;;;-1,171581;1,189054;2,360635
72;1,047826;;;;;;2,23688;1,047826;1,189054;;;1,187436;0,001618;-1,185818
73;2,23688;;;;;;2,238498;2,23688;0,001618;;;-0,009898;0,011516;0,021414
74;2,238498;;;;;;2,250014;2,238498;0,011516;;;0,009997;0,001519;-0,008478
75;2,250014;;;;;;2,251533;2,250014;0,001519;;;-0,009614;0,011133;0,020747
76;2,251533;;;;;;2,262666;2,251533;0,011133;;;0,005899;0,005234;-0,000665
77;2,262666;;;;;;2,2679;2,262666;0,005234;;;0,004599;0,000635;-0,003964
78;2,2679;;;;;;2,268535;2,2679;0,000635;;;0,000542;9,3E-05;-0,000449
79;2,268535;;;;;;2,268628;2,268535;9,3E-05;;;-0,006901;0,006994;0,013895
80;2,268628;;;;;;2,275622;2,268628;0,006994;;;0,006764;0,00023;-0,006534
81;2,275622;;;;;;2,275852;2,275622;0,00023;;;5,3E-05;0,000177;0,000124
82;2,275852;;;;;;2,276029;2,275852;0,000177;;;-0,006386;0,006563;0,012949
83;2,276029;;;;;;2,282592;2,276029;0,006563;;;0,006219;0,000344;-0,005875
84;2,282592;;;;;;2,282936;2,282592;0,000344;;;0,000344;0;-0,000344
85;2,282936;;;;;;2,282936;2,282936;0;;;-0,000825;0,000825;0,00165
86;2,282936;;;;;;2,283761;2,282936;0,000825;;;0,000449;0,000376;-7,3E-05
87;2,283761;;;;;;2,284137;2,283761;0,000376;;;-0,00777;0,008146;0,015916
88;2,284137;;;;;;2,292283;2,284137;0,008146;;;0,007364;0,000782;-0,006582
89;2,292283;;;;;;2,293065;2,292283;0,000782;;;-0,000318;0,0011;0,001418
90;2,293065;;;;;;2,294165;2,293065;0,0011;;;-0,00732;0,00842;0,01574
